range_start,range_end,journal,volume,issue,issue_heading,published_date,title,authors,score,priority,lab_relevance,themes,matched_groups,matched_terms,doi,url,abstract,review_o,review_x,training_label,reviewer_notes
2026-08-17,2026-08-31,Nature Communications,17,1,"Volume 17, Issue 1, Aug 2026",2026-08-28,CD97/ADGRE5 attenuates the induction of adaptive type 2 immune responses in allergic asthma,"Gabriela Aust, Anna-Lena Hoh, ..., Tobias Polte",12.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,"inflammation_immunity: immune response, inflammation",10.1038/s41467-026-76948-9,https://doi.org/10.1038/s41467-026-76948-9,"Abstract Allergic asthma results from an uncontrolled type 2 immune response to inhaled allergens. Here, we investigate the function of CD97/ ADGRE5 , expressed in mouse and human immune and lung epithelial cells, in this disease. Female Cd97 −/− mice exhibit an exacerbated asthmatic phenotype across multiple models, primarily due to CD97 loss on immune cells. A single CD97 antibody treatment before allergen sensitization worsens allergic responses, highlighting a role for CD97 in early immune regulation. Post-sensitization, Cd97 −/− mice display higher frequencies of lung conventional type 2 and monocyte-derived dendritic cells (DCs). Allergen-pulsed Cd97 −/− bone marrow-derived DCs are more activated, promote enhanced proliferation and type 2 cytokine secretion by CD4⁺ OT-II cells, and induce stronger airway inflammation. Consistently, ADGRE5 expression is reduced in airway mucosa-derived mononuclear phagocyte subsets in human asthmatics after allergen-induced exacerbation. These results identify CD97 as an important regulator of DC-driven type 2 allergic responses and a potential target in asthma.",,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-27,An FGF21-IGFBP1 tumor-liver relay drives musculoskeletal defects in colorectal cancer cachexia,"Joshua R. Huot, Urja R. Kamdar, ..., Andrea Bonetto",36.0,Must read,3,Liver metabolism / MASLD; Cell targeting / therapy,liver_axis; therapy_translation,"liver_axis: hepatic, liver | therapy_translation: therapeutic target",10.1038/s41467-026-77305-6,https://doi.org/10.1038/s41467-026-77305-6,"Abstract Colorectal cancer (CRC) is frequently accompanied by cachexia, a wasting syndrome characterized by progressive loss of muscle and bone that worsens physical function and survival. Although liver dysfunction is increasingly recognized in cachexia, whether tumor-induced liver signaling contributes directly to musculoskeletal decline remains unclear. Here we show that CRC establishes a tumor-liver endocrine relay in which tumor-derived fibroblast growth factor 21 (FGF21) stimulates hepatic production of the hepatokine insulin-like growth factor binding protein 1 (IGFBP1). IGFBP1 is consistently elevated in patients with CRC and in multiple mouse models, where it promotes osteoclast differentiation, muscle atrophy, and bone loss. Genetic or pharmacological inhibition of IGFBP1 preserves muscle and bone despite persistent tumor burden, whereas deletion of tumor-derived FGF21 suppresses hepatic IGFBP1 production and mitigates musculoskeletal wasting. These findings identify a tumor-liver signaling axis that drives CRC-associated cachexia and highlight the FGF21-IGFBP1 pathway as a therapeutic target to preserve musculoskeletal health.",,,,
2026-08-17,2026-08-31,Nature Communications,17,1,"Volume 17, Issue 1, Aug 2026",2026-08-27,The cortical microenvironment drives early immune organization and controls early osteoclastogenesis in bone healing,"Anne Noom, Hülya Zeynep Oktay, ..., Georg N. Duda",19.0,Must read,3,Inflammation / immune regulation; Single-cell / spatial / atlas,inflammation_immunity; omics_and_atlas,"inflammation_immunity: immune response, macrophage | omics_and_atlas: single cell RNA sequencing, single-cell RNA sequencing",10.1038/s41467-026-77196-7,https://doi.org/10.1038/s41467-026-77196-7,"Abstract Bone regeneration is a complex, tightly regulated process involving coordinated interactions of immune and stromal cells. Early phases of healing rely on the timely clearance of debris, a task primarily carried out by macrophages and osteoclasts. However, the sequence of events leading to the presence of osteoclasts at the fracture site and how this is shaped by local tissue microenvironments remains poorly understood, particularly at single-cell and spatial resolution. Using single-cell RNA sequencing and multi-epitope ligand cartography, we mapped the spatial organization of distinct cell compartments engaged in early fracture healing in both young and aged female mice at the start of healing. Surprisingly, we found that young mice exhibited an increased presence of activated osteoclasts at day 7, concentrated within the cortical niche. This compartment was also characterized by a spatially restricted immune response with a selective accumulation of distinct macrophage types jointly interacting with neutrophils and stromal cells. This raised the possibility that local cell organization influences osteoclast precursor differentiation. We identified a fracture-associated Spp1 hi macrophage subset enriched at the cortex, which represented a transitional monocyte-derived state that expressed early osteoclast differentiation transcripts and gave rise to osteoclasts ex vivo. Neutrophils preceded fracture-associated Spp1 hi macrophage accumulation and may promote their recruitment through chemotactic signaling. This coordination was less pronounced in aged mice despite preserved transcriptional states. In parallel, stromal cells in young animals displayed higher expression of essential niche factors, further supporting local osteoclastogenesis at the cortex. Together, our findings identify a distinct macrophage state that contains cells with osteoclast differentiation potential and reveal early, cortex-specific niche activity supporting osteoclastogenesis. This provides a new framework for understanding the initiation of spatial immune–stromal interactions for the early stages of regeneration.",,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-27,Disitamab vedotin for HER2-positive breast cancer with liver metastases: phase 3 results from the RC48-C006 phase 2/3 trial,"Jiayu Wang, Quchang Ouyang, ..., Binghe Xu",14.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1038/s41467-026-75733-y,https://doi.org/10.1038/s41467-026-75733-y,,,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-27,ALKBH5-mediated microglia-neuron crosstalk inhibits sympathetic innervation and adipocyte browning in male mice,"Yong-Feng Yang, Yan Li, ..., Ruo-Gu Li",14.0,Worth scanning,2,Adipose tissue / adipocyte biology,adipose_axis,adipose_axis: adipocyte,10.1038/s41467-026-77050-w,https://doi.org/10.1038/s41467-026-77050-w,,,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-27,Spatial analysis reveals cellular microenvironments and mechanisms of inflammation and injury in acute interstitial nephritis,"Megan L. Baker, Vijayakumar R. Kakade, ..., Lloyd G. Cantley",12.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: inflammation,10.1038/s41467-026-77210-y,https://doi.org/10.1038/s41467-026-77210-y,,,,,
2026-08-17,2026-08-31,Nature Communications,17,1,"Volume 17, Issue 1, Aug 2026",2026-08-27,De novo E-cadherin/catenin complex formation controls basal epithelial mechanics and force transmission for apoptotic cell clearance,"Hanna-Maria Häkkinen, Marta Batet, ..., Verena Ruprecht",8.0,Archive only,1,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: inflammation,10.1038/s41467-026-76710-1,https://doi.org/10.1038/s41467-026-76710-1,"Abstract Beyond serving as cohesive barriers, epithelia clear apoptotic cells to regulate development, homeostasis and inflammation. How epithelial cells remodel their shape during phagocytosis while preserving tissue integrity, and the role of adhesion receptors in this process, remain unclear. Using live in vivo imaging of phagocyte-target interactions in zebrafish ( Danio rerio ) embryos, we show that basal and apical epithelial domains are mechanically decoupled, enabling engulfment without disrupting tissue cohesion. We identify a dynamic assembly of E-cadherin/catenin complexes at the basal epithelial surface in contact with apoptotic cells. Targeted perturbations reveal two critical functions of de novo E-cadherin/catenin complex formation at the phagocytic synapse: α-catenin acts as a physical linker transmitting actin-generated forces required for engulfment, while p120-catenin restrains Myosin II activity, enabling efficient clearance. We further demonstrate the conservation of E-cadherin-dependent apoptotic cell clearance in the mouse trophectoderm. These findings reveal that the E-cadherin/catenin complex is repurposed at the phagocytic synapse as a mechano-regulator of epithelial efferocytosis beyond its canonical role in tissue cohesion.",,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-27,CD38-activated macrophages drive age-related placental senescence by depleting NAD+ in decidual stromal cells,"Lun Hua, Xiaohan Yang, ..., De Wu",7.0,Archive only,1,Aging / senescence,aging_senescence,aging_senescence: senescence,10.1038/s41467-026-77217-5,https://doi.org/10.1038/s41467-026-77217-5,,,,,
2026-08-17,2026-08-31,Nature Communications,17,1,"Volume 17, Issue 1, Aug 2026",2026-08-26,Leptomeningeal fibroblasts promote glioblastoma progression by regulating cerebrospinal fluid dynamics,"Maoyuan Sun, Shan Jiang, ..., Zhifeng Shi",24.0,Must read,3,Liver metabolism / MASLD; Inflammation / immune regulation; Cell targeting / therapy,liver_axis; inflammation_immunity; therapy_translation,liver_axis: fibrosis | inflammation_immunity: T cell | therapy_translation: therapeutic target,10.1038/s41467-026-76032-2,https://doi.org/10.1038/s41467-026-76032-2,"Abstract Cerebrospinal fluid contributes to homeostasis in the central nervous system, but how its dynamics are altered in glioblastoma is unclear. We find that glioblastoma drives leptomeningeal perivascular fibrosis that is associated with impaired fluid transport and clearance. Lineage tracing and single-cell analyses in male tumor-bearing mice identify leptomeningeal fibroblasts as the principal source of this fibrotic response, with limited contribution from pericytes. Fibrosis is linked to activation of nuclear factor kappa B signaling in collagen-producing fibroblasts, extracellular matrix deposition around perivascular spaces, reduced intratumoural cytotoxic T cell accumulation and a less permissive immune microenvironment. Here, we show that inhibiting nuclear factor kappa B signaling in leptomeningeal fibroblasts reduces fibrosis, improves fluid clearance, enhances intratumoural cytotoxic T cell accumulation and restores responsiveness to programmed cell death protein 1 blockade, identifying this pathway as a therapeutic target in glioblastoma.",,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-26,Deep learning aging marker from retinal images unveils sex-specific clinical and genetic signatures,"Olga Trofimova, Leah Böttger, ..., Sven Bergmann",20.0,Must read,3,Inflammation / immune regulation; Aging / senescence,inflammation_immunity; aging_senescence,inflammation_immunity: inflammation | aging_senescence: aging,10.1038/s41467-026-77102-1,https://doi.org/10.1038/s41467-026-77102-1,"Abstract Retinal fundus images offer a non-invasive window into systemic aging. Here, we fine-tune a foundation model (RETFound) to predict chronological age from color fundus images in 71,343 participants from the UK Biobank, achieving a mean absolute error of 2.85 years. The resulting retinal age gap, i.e. the difference between predicted and chronological age, is associated with cardiometabolic traits, inflammation, cognitive performance, all-cause mortality, dementia, cancer, and incident cardiovascular disease. Genome-wide analyses identify genes related to longevity, metabolism, neurodegeneration, and age-related eye diseases. Sex-stratified models reveal consistent performance but divergent biological signatures: males have stronger links to metabolic syndrome, while in females, both model attention and genetics point to a greater involvement of retinal vasculature. Additional analyses indicate that retinal aging patterns in females vary across the menopausal transition, with postmenopausal females exhibiting higher retinal age gap values and clinical associations that more closely resemble those observed in males. Our study positions the retinal age gap as a biologically relevant and sex-specific phenotype associated with multiple aging-related diseases and outcomes beyond conventional risk factors, including chronological age.",,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-26,Bi-directional highways and super-seeder tissues underpin parasite dissemination in experimental Leishmania donovani infection,"Ciara Loughrey, Juliana B. T. Carnielli, ..., Paul M. Kaye",9.0,Archive only,1,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1038/s41467-026-77072-4,https://doi.org/10.1038/s41467-026-77072-4,"Abstract Visceral leishmaniasis (VL) is a life-threatening parasitic disease caused by Leishmania donovani and L. infantum . Although VL is characterised by organ-specific immunopathology and parasitism of the spleen, liver and bone marrow, other tissues may harbour parasites without overt pathology. The mechanisms governing patterns of within-host dissemination and tissue tropism are largely unknown. Here, we use a barcoded library of isogenic L. donovani and an ecological analysis framework, to evaluate parasite population diversity across tissues and to map parasite dissemination in a murine infection model. We reveal an unexpected high degree of inter-connectivity between parasite populations demonstrating: i) continual bi-directional dissemination between viscera and skin; ii) the existence of super-seeder sites that act as hubs fuelling systemic spread; and iii) rerouting of dominant dissemination routes or highways following immune perturbation. These findings change our understanding of L. donovani pathogenesis, providing critical insights into infection dynamics, with implications for relapse, treatment failure and transmission.",,,,
2026-08-17,2026-08-31,Nature Communications,17,1,"Volume 17, Issue 1, Aug 2026",2026-08-26,RTEL1 mutation modifies dyskeratosis congenita caused by a telomerase RNA template mutation,"Nathaniel Deimler, Alex Orioli, ..., Peter Baumann",9.0,Archive only,1,Liver metabolism / MASLD,liver_axis,liver_axis: fibrosis,10.1038/s41467-026-76650-w,https://doi.org/10.1038/s41467-026-76650-w,"Abstract Vertebrate telomeres, the sequences protecting the end of linear chromosomes, are composed of conserved hexameric GGTTAG repeats. Here we present a C50>A telomerase RNA template mutation that results in the incorporation of the variant telomeric repeat GTTTAG in a family with dyskeratosis congenita primarily presenting as idiopathic pulmonary fibrosis. The mutant telomerase shows reduced processivity, as demonstrated in direct activity assays and corroborated in vivo by Illumina whole-genome sequencing and Oxford Nanopore long-read telomere sequencing. The latter provides positional mutant repeat information that reveals the inheritance and maintenance of proximal mutant repeats in individuals who did not inherit the template mutation. Additionally, we describe an RTEL1 nonsense mutation that is associated with very short telomeres in progeny harboring wild-type telomerase and inherited mutant telomeric repeats in the absence of overt clinical phenotypes. In contrast, co-inheritance of the RTEL1 nonsense and TERC r.C50 > A mutations coincide with severe early-onset DC phenotypes in two individuals.",,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-26,Fusion-driven oncogenic programs shape the immune landscape in translocation renal cell carcinoma,"Prathyusha Konda, Alexandra J. Wakolbinger, ..., Srinivas R. Viswanathan",5.0,Archive only,1,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1038/s41467-026-76858-w,https://doi.org/10.1038/s41467-026-76858-w,"Abstract Renal cell carcinomas (RCC) comprise multiple molecularly distinct cancers but most are treated empirically with therapies designed for clear cell RCC (ccRCC), the most common subtype, due to incomplete understanding of subtype-specific biology. We analyzed single-cell transcriptomes and chromatin accessibility profiles from translocation renal cell carcinoma (tRCC), an aggressive RCC defined by oncogenic TFE3 gene fusions. We show that, despite arising from a proximal tubule cell of origin similar to ccRCC, tRCCs display distinct oncogenic programs and an immunosuppressive tumor microenvironment (TME). tRCCs exhibit six conserved tumor meta-programs, including epithelial-mesenchymal transition (EMT) and proximal tubule identity programs whose balance is regulated by TFE3 fusion activity. The fusion-driven EMT program drives a suppressive TME marked by progenitor-exhausted CD8 + T cells, anti-inflammatory SPP1+ macrophages, and matrix-associated fibroblasts. Our findings highlight unique TFE3 fusion-driven biology in tRCC, explaining its reduced immunotherapy responsiveness relative to ccRCC, and suggesting strategies for targeting fusion-driven oncogenic programs and TME reprogramming.",,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-25,Therapeutic modulation of the vitreoretinal fibrosis microenvironment in female mice using engineered macrophage-derived extracellular vesicles,"Yingjie Wang, Fuxiao Luan, ..., Wei Wei",37.0,Must read,3,Liver metabolism / MASLD; Inflammation / immune regulation,liver_axis; inflammation_immunity,liver_axis: fibrosis | inflammation_immunity: macrophage,10.1038/s41467-026-76550-z,https://doi.org/10.1038/s41467-026-76550-z,"Abstract Vitreoretinal fibrosis, a hallmark of proliferative vitreoretinopathy (PVR) triggered by retinal detachment or ocular trauma, necessitates surgery. Through data mining of the vitreoretinal fibrosis microenvironment in PVR patients and mice, showing elevated transforming growth factor β1 (TGFβ1) and M2 macrophage enrichment, we designed and engineered extracellular vesicles that conferred anti-fibrotic efficacy against PVR. These M1 macrophage-derived vesicles (M1evs) were conjugated with anti-TGFβ1 antibodies (aT) via MMP-cleavable linkers (aT-cl-M1ev, termed ACE). Upon intravitreal injection in female PVR model mice, ACE selectively accumulates in lesions, where released antibodies neutralize TGFβ1 and M1evs inhibit M2 macrophage polarization, modulating the microenvironment to diminish vitreoretinal fibrosis. Further incorporating anti-platelet-derived growth factor receptor antibodies yields aTP-cl-M1ev (ACE Plus ) to prevent retinal detachment progression in advanced-stage PVR, an efficacy validated in a patient-derived PVR membrane xenograft model. Therapeutic modulation of the vitreoretinal fibrosis microenvironment with the ACE platform provides an efficacious alternative to surgery for PVR.",,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-25,Predicting acute and chronic diabetes complications among adults newly diagnosed with diabetes: development and validation of dynamic risk prediction models,"Rozalina G. McCoy, Shrinath Patel, ..., Che Ngufor",24.0,Must read,3,Liver metabolism / MASLD,core_disease_context,core_disease_context: diabetes,10.1038/s41467-026-76673-3,https://doi.org/10.1038/s41467-026-76673-3,,,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-25,Maternal obesity programs offspring metabolic dysfunction via small extracellular vesicle-mediated epigenetic remodeling,"Huichen Song, Dameng Li, ..., Liang Li",14.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: obesity,10.1038/s41467-026-77161-4,https://doi.org/10.1038/s41467-026-77161-4,,,,,
2026-08-17,2026-08-31,Nature Communications,,,Aug 2026,2026-08-25,Fibrin-rich environment drives catheter-associated UTIs by suppressing macrophage defenses,"Armando M. Marrufo, Christopher Gager, ..., Ana L. Flores-Mireles",9.0,Archive only,1,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: macrophage,10.1038/s41467-026-76660-8,https://doi.org/10.1038/s41467-026-76660-8,,,,,
2026-08-17,2026-08-31,Nature Aging,,,Aug 2026,2026-08-28,Mitochondrial DNA leakage in oocytes activates cGAS-STING signaling to drive ovarian aging,"Min Lei, Zhenye Zhu, ..., Qingling Yang",10.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: aging,10.1038/s43587-026-01195-y,https://doi.org/10.1038/s43587-026-01195-y,,,,,
