range_start,range_end,journal,volume,issue,issue_heading,published_date,title,authors,score,priority,lab_relevance,themes,matched_groups,matched_terms,doi,url,abstract,review_o,review_x,training_label,reviewer_notes
2026-08-09,2026-08-23,Nature Communications,17,1,"Volume 17, Issue 1, Aug 2026",2026-08-20,Bispecific chimeric autoantibody receptor T cells eliminate acetylcholine receptor-specific B cells in myasthenia gravis models,"Niels von Wardenburg, Gregorio Spagni, ..., Harald Prüss",20.0,Must read,3,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1038/s41467-026-76750-7,https://doi.org/10.1038/s41467-026-76750-7,"Abstract Myasthenia gravis (MG) is an autoimmune neuromuscular disorder mediated by autoantibodies targeting the nicotinic acetylcholine receptor (nAChR), which can lead to severe disability and life-threatening crises. Current therapies rely on broad immunosuppression and fail to achieve sustained remission in the majority of patients. Here, we report the development of AChR chimeric autoantibody receptor (CAAR) T cells engineered to selectively eliminate autoreactive B cells producing anti-AChR autoantibodies. T cells were co-transduced with CAARs expressing extracellular domains of the AChRα1 or β1 subunits, enabling recognition of a broad range of pathogenic antibodies. AChR CAAR T cells selectively secreted effector cytokines upon activation, and efficiently lysed target cells. In a xenograft mouse model, they depleted pathogenic B cell lines and reduced autoantibody levels in the circulation and at the neuromuscular junction. These findings establish AChR CAAR T cells as a precision immunotherapy with the potential to achieve durable remission in refractory MG.",,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-20,Crosstalk between S-nitrosylation and glycation defines a metabolic vulnerability in liver and renal cancers,"Chiara Pecorari, Mojca Bratina, ..., Giuseppe Filomeni",14.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1038/s41467-026-76938-x,https://doi.org/10.1038/s41467-026-76938-x,,,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-20,Clonal sharing and plasticity of follicular CD4 + T cells across lymph nodes and tumors in non-small cell lung cancer,"Jimena Tosello Boari, Wilfrid Richer, ..., Eliane Piaggio",12.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1038/s41467-026-76101-6,https://doi.org/10.1038/s41467-026-76101-6,,,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-19,NAP1 switches from an activator to a limiter of interferon induction by trapping TBK1 in condensates,"Damien Glon, Quentin Riller, ..., Yves Gaudin",20.0,Must read,3,Liver metabolism / MASLD; Adipose tissue / adipocyte biology,lipid_metabolism,lipid_metabolism: TBK1,10.1038/s41467-026-76769-w,https://doi.org/10.1038/s41467-026-76769-w,"Abstract TBK1 kinase is a central regulator of type I IFN production. Upon activation of the IFN-β induction pathway, TBK1-adaptor proteins (NAP1, SINTBAD, TANK) form liquid condensates. We show that NAP1 condensates concentrate TBK1. Using NAP1 KO cell lines, we demonstrate that NAP1 exerts a dual effect on TBK1 activity. Initially, NAP1 binds TBK1 and increases its activity, promoting IFN pathway activation. Subsequently, TBK1-mediated phosphorylation of NAP1 induces the formation of condensates. These NAP1 condensates concentrate both TBK1 and the phosphatase PP2A, which dephosphorylates and consequently deactivates TBK1, thus limiting IFN induction. Additionally, in patients with lupus or interferonopathies, we identify NAP1 variants unable to form condensates upon danger signal exposure, which sustain TBK1 activation without limiting its activity. This study reveals a mode of regulating a signaling pathway through condensate formation and provides a potential molecular explanation for immune dysregulation associated with NAP1 variants in certain patients with interferonopathies.",,,,
2026-08-09,2026-08-23,Nature Communications,17,1,"Volume 17, Issue 1, Aug 2026",2026-08-19,Injury-driven stromal exhaustion disrupts intrinsic regenerative capability,"Sixun Wu, Hirotaka Matsumoto, ..., Yuki Matsushita",17.0,Worth scanning,2,Inflammation / immune regulation; Aging / senescence; Cell targeting / therapy,inflammation_immunity; aging_senescence; therapy_translation,"inflammation_immunity: chronic inflammation, inflammation | aging_senescence: aging | therapy_translation: therapeutic target",10.1038/s41467-026-76108-z,https://doi.org/10.1038/s41467-026-76108-z,"Abstract Bone marrow stromal cells, marked by leptin receptor (Lepr) and C-X-C motif chemokine ligand 12 (Cxcl12), orchestrate osteogenesis and maintain bone homeostasis. Following injury, these stromal cells directly generate reparative bone and subsequently restore the marrow microenvironment, a process widely regarded as a reliable regenerative response. However, it remains unclear whether stromal cells retain full regenerative capacity after prior injury. Here, we show that Lepr + Cxcl12 + stromal cells have limited regenerative capacity and become dysfunctional upon repeated activation, defining a state of stromal exhaustion. Lepr-Cre-labeled stromal cells progressively lose osteogenic potential after repeated injury and instead differentiate into bone marrow adipocytes. Exhausted stromal cells are distinct from aging stromal cells, exhibiting metabolic abnormalities, chronic inflammation associated with stress responses, and impaired regenerative plasticity. Furthermore, β-catenin deletion during injury repair induces adipogenesis through stromal lineage switching, whereas pharmacological and genetic activation of Wnt/β-catenin signaling partially rescues osteogenesis, indicating that dysregulated Wnt/β-catenin signaling drives stromal exhaustion and impaired regeneration. As repeated regenerative activation may occur in recurrent fractures, orthopedic surgeries, osteoporosis, and osteogenesis imperfecta, stromal exhaustion represents a critical barrier to bone regeneration and a potential therapeutic target for restoring stromal plasticity.",,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-19,HMGA1-HP1β axis regulates premature aging in Hutchinson-Gilford progeria syndrome through chromatin remodeling,"Qianying Hu, Qian Sun, ..., Xianling Cong",10.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: aging,10.1038/s41467-026-76789-6,https://doi.org/10.1038/s41467-026-76789-6,,,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-19,STADiffuser: high-fidelity simulation and full-view 3D modeling of spatial transcriptomics,"Chihao Zhang, Shihua Zhang",10.0,Worth scanning,2,Single-cell / spatial / atlas,omics_and_atlas,omics_and_atlas: spatial transcriptomics,10.1038/s41467-026-76829-1,https://doi.org/10.1038/s41467-026-76829-1,,,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-19,CK2α restriction of STING accumulation underlies systemic aging,"Jie Zhang, Meiling Jin, ..., Ying Ao",10.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: aging,10.1038/s41467-026-76351-4,https://doi.org/10.1038/s41467-026-76351-4,,,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-19,Plasma proteomics defines two reproducible subphenotypes of sepsis-associated acute kidney injury with distinct outcomes,"Matthieu Legrand, Hanh Nguyen, ..., Alexendar R. Perez",8.0,Archive only,1,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: inflammation,10.1038/s41467-026-76889-3,https://doi.org/10.1038/s41467-026-76889-3,"Abstract Sepsis is the leading cause of acute kidney injury in critically ill patients, and this complication carries a high risk of death. The biology underlying it varies between patients, which may explain why treatments have not succeeded. Here we show, using an ensemble method that groups patients by patterns across hundreds of blood proteins in three independent groups of patients, that sepsis-associated acute kidney injury comprises two reproducible subphenotypes. One subphenotype shows widespread activation of inflammation, metabolism, and oxidative stress; the other shows a quieter profile. Patients in the inflammatory subtype have higher mortality, more complications, and fewer days alive and out of the intensive care unit. A simple seven-protein test reproduces these groupings and identifies them accurately in separate cohorts. In a randomized trial, the drug ilofotase alfa appears to benefit the inflammatory subtype but not the other, suggesting that this classification could guide future treatment.",,,,
2026-08-09,2026-08-23,Nature Communications,17,1,"Volume 17, Issue 1, Aug 2026",2026-08-18,The metabokine β-aminoisobutyric acid mediates exercise performance and skeletal muscle adaptation through a PGC1α-BAIBA-PPARδ axis,"Helene N. Daou, Nicole T. Watt, ..., Lee D. Roberts",14.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context; liver_axis,core_disease_context: diabetes | liver_axis: hepatic,10.1038/s41467-026-76307-8,https://doi.org/10.1038/s41467-026-76307-8,"Abstract Exercise orchestrates an interorgan communication network, in which skeletal muscle releases signaling molecules known as myokines that contribute to exercise training-induced adaptations. We identified the muscle-derived metabolite beta-aminoisobutyric acid (BAIBA) as a regulator of adipose and hepatic metabolic responses to exercise. Here, we demonstrate that BAIBA regulates muscle metabolism, morphology and function via peroxisome proliferator-activated receptor delta (PPARδ) to determine exercise performance in mice. BAIBA mitigates muscle dysfunction in a mouse model of diabetes. Physiologically, BAIBA exists as D- and L- enantiomers. We identify L-BAIBA as the primary mediator of muscular effects. Knockdown of L-BAIBA’s biosynthetic enzyme, 4-aminobutyrate aminotransferase, in mouse hindlimb muscle impairs exercise-induced adaptations and performance gains. L-BAIBA regulates human myotube fibertype and differentiation markers through Mas-related G-protein coupled receptor D. In humans, plasma L-BAIBA correlates with aerobic fitness and increases with endurance exercise training. BAIBA acts through the PGC1α-BAIBA-PPARδ axis to facilitate muscle adaptation and exercise performance.",,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-18,Cell senescence emerges as a hallmark and therapeutic target of chronic intracellular infection,"E. Scarpa, D. Oliveri, ..., L. Rizzello",14.0,Worth scanning,2,Aging / senescence; Cell targeting / therapy,aging_senescence; therapy_translation,aging_senescence: senescence | therapy_translation: therapeutic target,10.1038/s41467-026-76651-9,https://doi.org/10.1038/s41467-026-76651-9,,,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-17,PD-1 regulates CD4+ T cell-mediated CD8+ T cell responses in the brain to balance viral control and neuroinflammation,"Arrienne B. Butic, Elia Afanasiev, ..., Aron E. Lukacher",20.0,Must read,3,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1038/s41467-026-76762-3,https://doi.org/10.1038/s41467-026-76762-3,,,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-17,A viral-based individualized neoantigen vaccine as adjuvant treatment in resected head and neck squamous cell carcinoma: a randomized Phase I trial,"Christian Ottensmeier, Jean-Pierre Delord, ..., Christophe Le Tourneau",12.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1038/s41467-026-76667-1,https://doi.org/10.1038/s41467-026-76667-1,"Abstract In approximately one third of patients, resected head and neck squamous cell carcinoma will recur. We postulated that the induction of tumor neoantigen-specific T cell responses could prevent relapse. To this end, we developed TG4050, an individualized neoantigen therapeutic vaccine encoding up to 30 patient-specific predicted tumor neoantigens delivered by a Modified Vaccinia Ankara viral vector. We tested adjuvant TG4050 as single agent in a randomized phase I trial comparing treatment with TG4050 immediately after standard of care adjuvant therapy versus watchful waiting and treatment with TG4050 after recurrence (NCT04183166). The primary endpoint was safety, secondary endpoints included feasibility and efficacy, and immunogenicity was exploratory. TG4050 was well tolerated. Of 16 evaluable patients randomized the immediate treatment arm, none relapsed after a median follow-up of 30 months, while 3 of 16 relapsed in the control arm. T cell responses to vaccine neoantigens were detected in 73.3% of patients treated with TG4050 immediately, with a median of 3 neoantigens per responder. These responses were maintained throughout treatment and persisted for over one year after the last dose. Vaccine neoantigen-specific CD8 + T cells had an effector phenotype, displayed high expression of cytotoxic and tissue-resident markers, were polyclonal and comprised both de novo responses and amplification of pre-existing tumor-infiltrating T cell clones. Together, these translational data are consistent with the hypothesis in which single-agent delivery of TG4050 induces long-lasting tumor neoantigen-specific cytotoxic T cell responses that can prevent tumor recurrence.",,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-17,Measurable residual disease detected by next-generation sequencing in T-cell acute lymphoblastic leukemia,"Chan Liao, Haipin Chen, ..., Xiaojun Xu",12.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1038/s41467-026-76729-4,https://doi.org/10.1038/s41467-026-76729-4,,,,,
2026-08-09,2026-08-23,Nature Communications,17,1,"Volume 17, Issue 1, Aug 2026",2026-08-17,"Identifying phenotype-genotype-function coupling in 3D organoid imaging using Shape, Appearance and Motion Phenotype Observation Tool (SPOT)","Felix Y. Zhou, Brittany-Amber Jacobs, ..., Xin Lu",10.0,Worth scanning,2,Single-cell / spatial / atlas,omics_and_atlas,"omics_and_atlas: single cell RNA sequencing, single-cell RNA sequencing",10.1038/s41467-026-75506-7,https://doi.org/10.1038/s41467-026-75506-7,"Abstract Live cells in tissue are plastic, phenotypically dynamic, and modify their function in response to genetic and environmental perturbations. To unleash the power of live-cell imaging to identify phenotype-genotype-function coupling over time, we report the development of a standardized Shape-Appearance-Motion (SAM) “phenome” and SAM-Phenotype-Observation-Tool (SPOT), that act as an image-“transcriptome” and image-“transcriptome analyzer” respectively, and provide an unbiased and comprehensive description of morpho-dynamic phenotypes without prior knowledge. We apply SAM-SPOT to our simulated organoids database with known ground-truth and >1.6 million mouse and human organoid instances with defined genetic and chemical perturbations. SAM-SPOT can effectively and robustly characterize 3D morpho-dynamics from 2D projection videos. Combined with single-cell RNA sequencing, SAM-SPOT reveals that altered WNT signaling, but not mutant RAS or p53, predisposes intestinal organoids to irregular morphogenesis. SAM-SPOT advances biomedical discovery by empowering live-cell imaging to identify phenotype-genotype-function relationships through large-scale and cost-effective label-free live-cell imaging.",,,,
2026-08-09,2026-08-23,Nature Aging,,,Aug 2026,2026-08-20,Turning CDK4/6 inhibitors against the dark side of senescence,"Liqin Wang, Rene Bernards",10.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: senescence,10.1038/s43587-026-01189-w,https://doi.org/10.1038/s43587-026-01189-w,,,,,
2026-08-09,2026-08-23,Nature Aging,,,Aug 2026,2026-08-20,Inhibiting cyclin D1–CDK6 suppresses senescence-associated inflammatory gene expression and age-related functional decline,"Adarsh Rajesh, Aaron P. Havas, ..., Peter D. Adams",10.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: senescence,10.1038/s43587-026-01196-x,https://doi.org/10.1038/s43587-026-01196-x,,,,,
2026-08-09,2026-08-23,Nature Aging,,,Aug 2026,2026-08-19,Noncircadian BMAL1–YAP activity amplifies persistent inflammation in aged epidermis,"Júlia Bonjoch, Paloma Solá, ..., Guiomar Solanas",12.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: inflammation,10.1038/s43587-026-01192-1,https://doi.org/10.1038/s43587-026-01192-1,,,,,
2026-08-09,2026-08-23,Science,393,6813,"Volume 393, Issue 6813, Aug 2026",2026-08-20,RAD51 stabilizes neutrophil extracellular traps to compartmentalize inflammation,"Lorenza Iolanda Tsansizi, Sophie Yihan Guan, ..., Venizelos Papayannopoulos",19.0,Must read,3,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: inflammation,10.1126/science.aed9286,https://doi.org/10.1126/science.aed9286,"Neutrophil extracellular traps (NETs) feature a branched chromatin architecture whose origin and function remain unknown. We found that NET branching is mediated by RAD51, a protein generating DNA junctions during DNA recombination repair. Pharmacological inhibition, RAD51 knockdown, or GEN1 and RuvC resolvase treatment reduced branching and destabilized NETs, whereas RAD51 up-regulation by different stimuli generated NETs with variable stability. RAD51 inhibition during murine pulmonary Aspergillus fumigatus infection dismantled NETs and reduced lung cytokines. However, the increased accumulation of NET components in the circulation led to interleukin-6 (IL-6) induction in circulating monocytes that exacerbated type 2 inflammation and asthma. Extracellular plasma DNA correlated with IL-6 and eotaxin in human aspergillosis. By structurally stabilizing NETs, RAD51 compartmentalizes inflammation to thwart aberrant systemic immune activation, linking DNA repair to inflammation.",,,,
2026-08-09,2026-08-23,Nature Metabolism,,,Aug 2026,2026-08-21,A proteomic atlas of obesity and weight loss,"Natasha D. Suriani, Matthew J. Watt",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: obesity,10.1038/s42255-026-01601-0,https://doi.org/10.1038/s42255-026-01601-0,,,,,
2026-08-09,2026-08-23,Nature Metabolism,,,Aug 2026,2026-08-21,Multi-organ proteomic atlas of obesity regression in male mice,"Felix Boel, Ellen Gammelmark Klinggaard, ..., Blagoy Blagoev",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: obesity,10.1038/s42255-026-01599-5,https://doi.org/10.1038/s42255-026-01599-5,,,,,
2026-08-09,2026-08-23,Nature Metabolism,8,8,"Volume 8, Issue 8, Aug 2026",2026-08-19,Intestinal cGAS–STING–IFN signalling promotes obesity by downregulating microbiota-derived IAA in male mice,"Jiangming Deng, Wen Meng, ..., Yang Xiao",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: obesity,10.1038/s42255-026-01562-4,https://doi.org/10.1038/s42255-026-01562-4,,,,,
2026-08-09,2026-08-23,Journal of Clinical Investigation,,,Aug 2026,2026-08-18,Convection-enhanced delivery of dexamethasone in glioma models suppresses myeloid inflammation while avoiding systemic toxicities,"Nathaniel W. Rolfe, Nicholas B. Dadario, ..., Jeffrey N. Bruce",29.0,Must read,3,Inflammation / immune regulation; Single-cell / spatial / atlas,inflammation_immunity; omics_and_atlas,"inflammation_immunity: inflammation, macrophage | omics_and_atlas: single-nucleus RNA sequencing, snRNA-seq",10.1172/jci200550,https://doi.org/10.1172/jci200550,"Dexamethasone is widely used to control cerebral edema and inflammation in glioblastoma, but its benefits are limited by systemic toxicities and adverse prognostic associations. We evaluated local administration of dexamethasone via convection-enhanced delivery (CED) to maximize intratumoral anti-inflammatory effects by increasing local corticosteroid exposure while minimizing systemic exposure. In two glioma mouse models, continuous intraparenchymal infusion of dexamethasone was well tolerated with no adverse effects. Pharmacokinetic analyses supported preferential intratumoral distribution and reduced systemic exposure with CED compared with systemic dosing. Single-nucleus RNA sequencing (snRNA-seq) and immunohistochemistry showed attenuation of glioma-associated inflammation with downregulation of reactive microglial/macrophage programs and reduced tumor-infiltrating myeloid cells with a morphology consistent with a less activated state. Experiments in human induced pluripotent stem cell (iPSC)–derived microglia confirmed that dexamethasone directly suppresses inflammatory gene expression, indicating a conserved mechanism across species. This inflammatory suppression was recapitulated in both immortalized microglial (HMC3) and macrophage (THP1) cell lines. These findings suggest that localized dexamethasone delivered by CED reprograms the glioma immune microenvironment and achieves control of inflammation without the systemic adverse effects associated with standard systemic dexamethasone therapy. This clinically translatable strategy may improve symptom management and provide a platform for integrating local immunomodulation with future glioblastoma therapies.",,,,
2026-08-09,2026-08-23,Journal of Clinical Investigation,,,Aug 2026,2026-08-18,CD73 inhibition overcomes adaptive immune resistance to PARP inhibiton in models of prostate cancer,"Ping Xie, Renqiang Ma, ..., Bin Zhang",10.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1172/jci203785,https://doi.org/10.1172/jci203785,"Metastatic castration-resistant prostate cancer (mCRPC) remains a leading cause of cancer-related mortality in men. Although poly(ADP-ribose) polymerase inhibitors (PARP inhibitor) are approved for mCRPC patients with homologous recombination repair (HRR) deficiencies, clinical trials combining Olaparib with PD-1/PD-L1 inhibitors have shown limited efficacy in unselected populations. To investigate the immunomodulatory effects of PARP inhibitor in an unbiased manner, we performed bulk RNA sequencing on HRR-proficient MycCaP cells treated with the PARP inhibitor (Olaparib) versus vehicle control. Transcriptomics analysis revealed robust upregulation of CD73 ( NT5E ), an ectoenzyme and emerging immune checkpoint that generates extracellular adenosine, suggesting an adaptive mechanism that undermines Olaparib efficacy and promotes immunosuppression. CD73 induction by Olaparib was validated in both human and mouse prostate cancer cell lines, with more pronounced effects in HRR-compromised PTEN knockout (KO) cells. Mechanistically, olaparib-driven CD73 expression was mediated through DNA damage–activated ATR–CHEK1–IRF1 and TGF-β1–AKT signaling pathways. In parallel, Olaparib enhanced tumor immunogenicity by activating type I interferon (IFN) signaling and antigen presentation machinery. In vivo , combining olaparib with CD73 blockade significantly delayed tumor growth, improved T-cell infiltration, and augmented CD8⁺ T-cell effector function across HRR-proficient and PTEN KO prostate cancer models. These findings identify Olaparib-induced CD73 upregulation as an adaptive resistance mechanism and support Olaparib plus CD73 blockade as a promising therapeutic strategy for advanced prostate cancer, irrespective of HRR status.",,,,
2026-08-09,2026-08-23,Journal of Clinical Investigation,136,16,"Volume 136, Issue 16, Aug 2026",2026-08-17,Radiotherapy and immunotherapy in cancer treatment: mechanisms of clinical synergy,"Lu Lu, Liufu Deng",10.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1172/jci207550,https://doi.org/10.1172/jci207550,"Synergizing radiotherapy (RT) with immune checkpoint inhibitors has emerged as a promising strategy for solid tumors. RT acts as a potent immunomodulator, capable of functioning as an in situ vaccine through the induction of immunogenic cell death and activation of innate immune sensing, thereby promoting DC maturation and CD8 + T cell responses. However, RT also triggers counter-regulatory immunosuppression, including PD-L1 upregulation and the recruitment of suppressive cells, providing the biological rationale for synergy. Here, we systematically review advances in radioimmunotherapy, covering immunomodulatory mechanisms, clinical optimization of dose and sequencing, and the emerging role of artificial intelligence (AI) in guiding treatment paradigms. We adopt a spatial interaction–centric perspective to synthesize current knowledge on how RT governs the DC/CD8 + T cell interaction axis across the tumor microenvironment and tumor-draining lymph nodes, aiming to chart a rational course from empirical combination toward personalized, precision radioimmunotherapy. Furthermore, we explore how AI-driven analysis of radiomics and multiomics data is being applied to predict responders and personalize treatment planning.",,,,
2026-08-09,2026-08-23,Journal of Clinical Investigation,136,16,"Volume 136, Issue 16, Aug 2026",2026-08-17,Monoclonal antibody CIS43LS sets the bar for long-acting malaria protection,David J. Sullivan,7.0,Archive only,1,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1172/jci209790,https://doi.org/10.1172/jci209790,"Monoclonal antibodies (mAbs) targeting Plasmodium falciparum epitopes aim to address gaps in malaria prevention, with potential to profoundly impact high-risk populations. In this issue of the JCI , Tran et al. performed pharmacokinetic and pharmacodynamic analyses on the mAb CIS43LS, which targets a unique conserved hinge region on the sporozoite protein CSP and previously demonstrated a high level of durable protection in controlled human malaria infections. Their findings establish a solid benchmark for mAb protection, demonstrating 80% protection from liver-stage invasion for 4–6 months. A clinical correlate of protection was estimated at antibody levels over 64 μg/mL. Successful protection could also be achieved from subcutaneous injections requiring lower doses. While efficacy of individual mAbs is more straightforward to demonstrate, exploring combination approaches targeting variable regions and diverse effector functions seems prudent to address the problem of evolving microbial pathogens. Combining both mAbs and long-acting malaria drugs may improve efficacy and reduce resistance.",,,,
2026-08-09,2026-08-23,Nature Cell Biology,,,Aug 2026,2026-08-21,A versatile cGAMP reporter reveals principles of cGAS activation by DNA damage and chromosome instability,"Vivianne Lebrec, Alexandra Kanellou, ..., Christian Zierhut",5.0,Archive only,1,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: inflammation,10.1038/s41556-026-02037-0,https://doi.org/10.1038/s41556-026-02037-0,"Abstract cGAS is the primary innate immune DNA sensor. On binding DNA, cGAS generates cGAMP, ultimately driving inflammation. Although normally silenced on self-DNA, genotoxic stress can activate cGAS, proposed to be mediated by micronuclei, chromosome bridges and DNA:RNA hybrids. However, mechanistically, this is poorly understood due to a lack of sensitive and selective single-cell cGAS activation assays. Here we solve this with an improved cGAMP reporter for microscopy, flow cytometry and biochemical assays. Strikingly, we find that genotoxic stress-mediated cGAS activation is a rare event that is not driven by enrichment on micronuclei and occurs by mechanisms that vary in dependence on the genotoxic stress. Following chromosome mis-segregation, cGAS activation correlates with bridge association but, notably, ionizing radiation activates cGAS independently of bridges. Whereas simple DNA:RNA hybrids are inert, more complex structures such as R-loops activate cGAS. Our work revises the cGAS signalling framework and introduces a flexible tool to examine it.",,,,
2026-08-09,2026-08-23,Hepatology,84,3,"Volume 84, Issue 3, Aug 2026",2026-08-19,Portal sinusoidal vascular diseases: Assessment and therapy,"Maria Mironova, Harish Gopalakrishna, ..., Theo Heller",26.0,Must read,3,Liver metabolism / MASLD,liver_axis,"liver_axis: fibrosis, hepatic, liver",10.1097/hep.0000000000001344,https://doi.org/10.1097/hep.0000000000001344,"The term porto-sinusoidal vascular disease (PSVD) was introduced in 2019 to describe a group of liver conditions that can lead to portal hypertension (PH) in the absence of cirrhosis or PVT, with or without specific findings on liver histology. The new nomenclature has facilitated the consolidation of knowledge on diseases previously referred to by various terms, including Banti disease, noncirrhotic portal hypertension, noncirrhotic portal fibrosis, and idiopathic portal hypertension, while excluding certain etiologies like sarcoidosis, congenital hepatic fibrosis, and Budd-Chiari syndrome. The prevalence and recognition of the disorder have been increasing. Advances in diagnostics and treatment have improved life expectancy for patients with associated conditions, such as immunodeficiencies and autoimmune diseases. Similar to cirrhosis, patients with PSVD may experience complications of PH, including variceal bleeding and ascites. However, less is known about its natural history, screening strategies, prognosis, and treatment options. This review discusses methods for assessing PSVD, including clinical and histological features, imaging techniques, and currently available treatments. It also addresses the challenges posed by the new nomenclature and the remaining questions in disease assessment.",,,,
2026-08-09,2026-08-23,Hepatology,84,3,"Volume 84, Issue 3, Aug 2026",2026-08-19,Advances in imaging—Elastography,"Elton Dajti, Adrian T. Huber, Giovanna Ferraioli, Annalisa Berzigotti",21.0,Must read,3,Liver metabolism / MASLD,liver_axis,"liver_axis: fibrosis, liver",10.1097/hep.0000000000001342,https://doi.org/10.1097/hep.0000000000001342,"Chronic liver disease affects over a billion people worldwide. Liver fibrosis is the key driver of liver-related complications and mortality. Elastography has been a transformative tool in hepatology, allowing for the diagnosis and staging of liver fibrosis noninvasively, and is evolving beyond these purposes into a prognostication tool. By measuring tissue stiffness, elastography techniques such as shear-wave and magnetic resonance elastography offer critical insights into liver fibrosis, portal hypertension, and the progression of disease. Magnetic resonance elastography stands out for its reliability across fibrosis stages and robustness in obese patients affected by metabolic liver disease. Spleen stiffness measurement complements liver assessments, enhancing the identification of portal hypertension and refining patient risk stratification. This review covers current clinical applications but also anticipates future innovations such as artificial intelligence-based algorithms that could expand elastography’s clinical impact, thereby improving patient outcomes.",,,,
2026-08-09,2026-08-23,Hepatology,84,3,"Volume 84, Issue 3, Aug 2026",2026-08-19,Assessment of liver injury potential of investigational medicines in drug development,"Naga Chalasani, Paul H. Hayashi, ..., Paul B. Watkins",16.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1097/hep.0000000000001281,https://doi.org/10.1097/hep.0000000000001281,"DILI is rare in clinical practice, but when it occurs, it can lead to acute liver failure and death. Drug developers and regulators undertake a series of steps to identify the DILI potential of a medication before it is approved for marketing. Preclinical testing by drug developers typically involves a multitude of in vitro assays and in vivo animal experiments before a compound is moved into first-in-human phase 1 testing. Over the last 2 decades, there have been a number of advances in preclinical screening for DILI potential of a new chemical entity, but these approaches tend to be overly sensitive with insufficient positive predictive value. Once in clinical trials, the DILI potential of an investigational agent and risks to a participant are carefully managed through patient selection, DILI monitoring paradigms, and drug interruption and discontinuation criteria, in close concert with the regulators. Recent developments in quantitative systems toxicology offer promising and complementary in silico approaches to predict the compound’s risk for DILI via multifaceted systems biology. When a drug developer submits a New Drug Application for marketing approval, regulators review the preclinical and clinical trial data in a structured fashion to assess the DILI risk. While these approaches have been successful in dramatically reducing the marketing approval of medications eventually associated with hepatotoxicity, many challenges remain in identifying the risk for DILI during preclinical and early-to-late clinical development stages for genetic medicines, biological agents, and immunotherapies. In this review, we discuss current preclinical, in-silico, and clinical development approaches to screen for the DILI potential of an investigational agent and provide a high-level description of regulators’ approach for assessing DILI risk in a New Drug Application.",,,,
2026-08-09,2026-08-23,Hepatology,84,3,"Volume 84, Issue 3, Aug 2026",2026-08-19,No prescription needed: Remote nutrition care linked to fewer liver events,"Leandro Sierra, Juan Pablo Arab",11.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1097/hep.0000000000001802,https://doi.org/10.1097/hep.0000000000001802,,,,,
2026-08-09,2026-08-23,Hepatology,84,3,"Volume 84, Issue 3, Aug 2026",2026-08-19,Hepatic footprint of emerging antihyperglycemic therapies,P. Vineeth Daniel,11.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: hepatic,10.1097/hep.0000000000001814,https://doi.org/10.1097/hep.0000000000001814,,,,,
