range_start,range_end,journal,volume,issue,issue_heading,published_date,title,authors,score,priority,lab_relevance,themes,matched_groups,matched_terms,doi,url,review_o,review_x,training_label,reviewer_notes,abstract
2026-06-30,2026-07-14,Science,393,6807,"Volume 393, Issue 6807, Jul 2026",2026-07-09,A single freeze cycle redirects iron mineral transformation,"Tao Luo, Tao Chen, ..., Jean-François Boily",3.0,Not relevant,0,,,,10.1126/science.aee9519,https://doi.org/10.1126/science.aee9519,,,,,
2026-06-30,2026-07-14,Science,393,6807,"Volume 393, Issue 6807, Jul 2026",2026-07-09,C1q and immunoglobulins mediate activity-dependent synapse loss in the adult brain,"Gerard Crowley, Minjung Kim, ..., Soyon Hong",3.0,Not relevant,0,,,,10.1126/science.adv1219,https://doi.org/10.1126/science.adv1219,,,,,
all-time,current,Science,393,6806,"Volume 393, Issue 6806, Jul 2026",2026-07-02,A Hormone Cell Atlas maps the human endocrine system at cellular resolution,"Lijiang Fei, Isabel Huang-Doran, ..., I. Sadaf Farooqi",18.0,Must read,3,Adipose tissue / adipocyte biology,adipose_axis,"adipose_axis: adipocyte, adipogenic",10.1126/science.aeb2672,https://doi.org/10.1126/science.aeb2672,,,,,"Hormones act across tissues and organs to coordinate physiological functions. Drawing inspiration from the Human Cell Atlas, we analyzed the expression of 379 hormone and receptor genes in a transcriptomic dataset comprising 14 million single cells and nuclei across 47 human tissues. Using hormone2cell, we mapped putative hormone-producing and hormone-receiving cell types, defining tissue-specific and cross-tissue endocrine signatures. We predicted nonclassical sites of hormone expression, including secretin in plasmacytoid dendritic cells, inferred convergent hormone action and endocrine feedback loops, and implicated cell populations in monogenic endocrine disorders. In a cross-tissue integration of adipocyte datasets, we uncovered dynamic endocrine programs across depots, within adipocyte subtypes and through adipogenic differentiation. Cumulatively, the Hormone Cell Atlas ( hormonecellatlas.org.uk ) provides a comprehensive framework for dissecting hormonal impact on health and disease."
all-time,current,Science,393,6806,"Volume 393, Issue 6806, Jul 2026",2026-07-02,Zonated mechanosensing by PIEZO1 controls liver regeneration,"Ying Zhang, Yuzhuo Sun, ..., Shengpeng Wang",13.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1126/science.aef0825,https://doi.org/10.1126/science.aef0825,,,,,
all-time,current,Science,393,6806,"Volume 393, Issue 6806, Jul 2026",2026-07-02,The mechanics of liver regeneration,"Raquel Maeso-Diaz, Anna Mae Diehl",13.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1126/science.aei7784,https://doi.org/10.1126/science.aei7784,,,,,
all-time,current,Science,393,6806,"Volume 393, Issue 6806, Jul 2026",2026-07-02,A dietary switch promotes sensory neuron–dependent cancer-associated cachexia,"Michael Cross, Stefan Kotschi, ..., Thales Papagiannakopoulos",3.0,Not relevant,0,,,,10.1126/science.adz4196,https://doi.org/10.1126/science.adz4196,,,,,
all-time,current,Science,393,6806,"Volume 393, Issue 6806, Jul 2026",2026-07-02,ILC2s regulate a fibroblast progenitor niche in the pancreas,"Thomas Yip, Julie Stockis, ..., Timotheus Y. F. Halim",3.0,Not relevant,0,,,,10.1126/science.aea5113,https://doi.org/10.1126/science.aea5113,,,,,
all-time,current,Science,393,6806,"Volume 393, Issue 6806, Jul 2026",2026-07-02,Patterning human kidney organoids with synthetic Wnt-secreting organizers,"Connor C. Fausto, Fokion Glykofrydis, ..., Nils O. Lindström",3.0,Not relevant,0,,,,10.1126/science.adu9122,https://doi.org/10.1126/science.adu9122,,,,,
all-time,current,Science,392,6805,"Volume 392, Issue 6805, Jun 2026",2026-06-25,"Ubiquitin-like proteins NEDD8 and SUMO2 control epithelial homeostasis, regeneration, and inflammation","Mårten C. G. Winge, Leandra V. Jackrazi, ..., Paul A. Khavari",11.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: inflammation,10.1126/science.aeb3900,https://doi.org/10.1126/science.aeb3900,,,,,
all-time,current,Science,392,6804,"Volume 392, Issue 6804, Jun 2026",2026-06-18,Maternal trans-vaccenic acid shapes neonatal T cell development and early-life immune imprinting,"Hao Fan, Zhong Zheng, ..., Jing Chen",11.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1126/science.aea4041,https://doi.org/10.1126/science.aea4041,,,,,
all-time,current,Science,392,6804,"Volume 392, Issue 6804, Jun 2026",2026-06-18,CD4 <sup>+</sup> T cells impair tumor growth through IL-3 and TNF-dependent vascular damage,"Qiaoshi Lian, Jia Nie, ..., Rémy Bosselut",11.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1126/science.ads7910,https://doi.org/10.1126/science.ads7910,,,,,
all-time,current,Science,392,6804,"Volume 392, Issue 6804, Jun 2026",2026-06-18,Lamprey 3D single-cell transcriptomics reveals ancestral and specialized features of the vertebrate brain,"Haixu Wu, Duoyuan Chen, ..., Bing Su",3.0,Not relevant,0,,,,10.1126/science.aea2535,https://doi.org/10.1126/science.aea2535,,,,,
all-time,current,Science,392,6804,"Volume 392, Issue 6804, Jun 2026",2026-06-18,Age and early life adversity shape heterogeneity of the epigenome across tissues in macaques,"Baptiste Sadoughi, Rachel M. Petersen, ..., Noah Snyder-Mackler",3.0,Not relevant,0,,,,10.1126/science.aea4922,https://doi.org/10.1126/science.aea4922,,,,,
all-time,current,Science,392,6803,"Volume 392, Issue 6803, Jun 2026",2026-06-11,Protein name confusion led to antibody mix-up,Mitch Leslie,3.0,Not relevant,0,,,,10.1126/science.aej5919,https://doi.org/10.1126/science.aej5919,,,,,
all-time,current,Science,392,6803,"Volume 392, Issue 6803, Jun 2026",2026-06-11,Placental nicotinamide adenine dinucleotide modulates the timing of labor,"Erin J. Ciampa, Luana M. Machado, ..., Samir M. Parikh",3.0,Not relevant,0,,,,10.1126/science.adz1624,https://doi.org/10.1126/science.adz1624,,,,,
all-time,current,Science,392,6802,"Volume 392, Issue 6802, Jun 2026",2026-06-04,Severe obesity in human HFpEF alters contractile protein function and organization,"Vivek P. Jani, Marcus Rhodehamel, ..., David A. Kass",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: obesity,10.1126/science.adz7118,https://doi.org/10.1126/science.adz7118,,,,,
all-time,current,Science,392,6802,"Volume 392, Issue 6802, Jun 2026",2026-06-04,Ultraprocessed foods and obesity: Interpreting the evidence,"Faidon Magkos, Ciarán G. Forde, Eric Robinson",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: obesity,10.1126/science.aef3495,https://doi.org/10.1126/science.aef3495,,,,,
all-time,current,Science,392,6801,"Volume 392, Issue 6801, May 2026",2026-05-28,Disruptive effects of brief radiofrequency noise exposure on migratory bat navigation,"Oliver Lindecke, William T. Schneider, ..., Richard A. Holland",3.0,Not relevant,0,,,,10.1126/science.adq4418,https://doi.org/10.1126/science.adq4418,,,,,
all-time,current,Science,392,6801,"Volume 392, Issue 6801, May 2026",2026-05-28,Pan-cancer spatial atlas of tertiary lymphoid structures,"Kyung Serk Cho, Yunhe Liu, ..., Linghua Wang",3.0,Not relevant,0,,,,10.1126/science.adz2742,https://doi.org/10.1126/science.adz2742,,,,,
all-time,current,Science,392,6801,"Volume 392, Issue 6801, May 2026",2026-05-28,Homing pigeon navigation relies on superparamagnetic macrophages under overcast conditions,"Clivia Lisowski, Michael Quetting, ..., Christian Kurts",0.0,Not relevant,0,,,,10.1126/science.ady2486,https://doi.org/10.1126/science.ady2486,,,,,
all-time,current,Science,392,6800,"Volume 392, Issue 6800, May 2026",2026-05-21,Mucosal vaccination in mice provides protection from diverse respiratory threats,"Haibo Zhang, Katharine Floyd, ..., Bali Pulendran",3.0,Not relevant,0,,,,10.1126/science.aea1260,https://doi.org/10.1126/science.aea1260,,,,,
all-time,current,Science,392,6800,"Volume 392, Issue 6800, May 2026",2026-05-21,The oscillatory biology of sleep: Linkage to dementia,Maiken Nedergaard,3.0,Not relevant,0,,,,10.1126/science.aeg2276,https://doi.org/10.1126/science.aeg2276,,,,,
all-time,current,Science,392,6799,"Volume 392, Issue 6799, May 2026",2026-05-14,Rewiring STAT signaling from the cell surface with Trikine immunotherapeutics,"Grayson E. Rodriguez, Yang Zhao, ..., K. Christopher Garcia",3.0,Not relevant,0,,,,10.1126/science.adx9954,https://doi.org/10.1126/science.adx9954,,,,,
all-time,current,Science,392,6798,"Volume 392, Issue 6798, May 2026",2026-05-07,Aging and the narrowing of scientific innovation,"Haochuan Cui, Yiling Lin, Lingfei Wu, James A. Evans",9.0,Archive only,1,Aging / senescence,aging_senescence,aging_senescence: aging,10.1126/science.ady8732,https://doi.org/10.1126/science.ady8732,,,,,
all-time,current,Science,392,6798,"Volume 392, Issue 6798, May 2026",2026-05-07,Intermetallic nanoassemblies potentiate systemic STING activation,"Xingwu Zhou, Xiang Ling, ..., James J. Moon",3.0,Not relevant,0,,,,10.1126/science.adx1893,https://doi.org/10.1126/science.adx1893,,,,,
all-time,current,Science,392,6798,"Volume 392, Issue 6798, May 2026",2026-05-07,Realization of a spin glass in a two-dimensional van der Waals material,"Banabir Pal, Ajesh Kollakuzhiyil Gopi, ..., Stuart S. P. Parkin",3.0,Not relevant,0,,,,10.1126/science.adp0091,https://doi.org/10.1126/science.adp0091,,,,,
all-time,current,Science,392,6797,"Volume 392, Issue 6797, Apr 2026",2026-04-30,Lymphoid tissue chemokines limit priming duration to preserve CD8 <sup>+</sup> T cell functionality,"Lukas M. Altenburger, Daniela Claudino Carvoeiro, ..., Jens V. Stein",11.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1126/science.adq2080,https://doi.org/10.1126/science.adq2080,,,,,
all-time,current,Science,392,6797,"Volume 392, Issue 6797, Apr 2026",2026-04-30,Disordered protein LAT encodes relative levels of signaling pathways in T cell activation,"Adam J. Rubin, Tyler T. Dao, ..., Alex K. Shalek",11.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1126/science.ads6847,https://doi.org/10.1126/science.ads6847,,,,,
all-time,current,Science,392,6796,"Volume 392, Issue 6796, Apr 2026",2026-04-23,Mechanical load inhibits cancer growth in mouse and human hearts,"Giulio Ciucci, Daniela Lorizio, ..., Serena Zacchigna",3.0,Not relevant,0,,,,10.1126/science.ads9412,https://doi.org/10.1126/science.ads9412,,,,,
all-time,current,Science,392,6796,"Volume 392, Issue 6796, Apr 2026",2026-04-23,A cell-nonautonomous heme acquisition pathway enables erythroid hemoglobinization under stress,"Audrey Belot, Andrew Rock, ..., Iqbal Hamza",3.0,Not relevant,0,,,,10.1126/science.aea0552,https://doi.org/10.1126/science.aea0552,,,,,
all-time,current,Science,392,6795,"Volume 392, Issue 6795, Apr 2026",2026-04-16,Stem cell control in the lung by an autocrine injury-activated Igf complex,"Yue Zhang, Youcef Ouadah, ..., Mark A. Krasnow",3.0,Not relevant,0,,,,10.1126/science.adt1310,https://doi.org/10.1126/science.adt1310,,,,,
all-time,current,Science,392,6795,"Volume 392, Issue 6795, Apr 2026",2026-04-16,An opposing molecular gradient axis underlies primate cortical organization,"Zhi Huang, Qianqian Yang, ..., Cirong Liu",3.0,Not relevant,0,,,,10.1126/science.aea2673,https://doi.org/10.1126/science.aea2673,,,,,
all-time,current,Science,392,6794,"Volume 392, Issue 6794, Apr 2026",2026-04-09,Sialylated CD43 forms a glyco-immune barrier that restrains antileukemic immunity,"Jooho Chung, Mounica Vallurupalli, ..., Robert T. Manguso",3.0,Not relevant,0,,,,10.1126/science.ady5196,https://doi.org/10.1126/science.ady5196,,,,,
all-time,current,Science,392,6794,"Volume 392, Issue 6794, Apr 2026",2026-04-09,Hyaluronic acid and tissue mechanics orchestrate mammalian digit tip regeneration,"Byron W. H. Mui, Joseph J. Y. Wong, ..., Mekayla A. Storer",3.0,Not relevant,0,,,,10.1126/science.ady3136,https://doi.org/10.1126/science.ady3136,,,,,
all-time,current,Science,392,6794,"Volume 392, Issue 6794, Apr 2026",2026-04-09,Pesticides may wreak havoc on the gut microbiome,Sanket Jain,3.0,Not relevant,0,,,,10.1126/science.aeh8589,https://doi.org/10.1126/science.aeh8589,,,,,
all-time,current,Science,392,6794,"Volume 392, Issue 6794, Apr 2026",2026-04-09,Luminal surface proteome of the brain vasculature uncovers blood-brain barrier regulators,"Zijian Zhu, Zuzhi Jiang, ..., Jiefu Li",3.0,Not relevant,0,,,,10.1126/science.aea2100,https://doi.org/10.1126/science.aea2100,,,,,
all-time,current,Science,392,6793,"Volume 392, Issue 6793, Apr 2026",2026-04-02,Targeting modulated vascular smooth muscle cells in atherosclerosis via FAP-directed immunotherapy,"Junedh M. Amrute, In-Hyuk Jung, ..., Kory J. Lavine",3.0,Not relevant,0,,,,10.1126/science.adx1736,https://doi.org/10.1126/science.adx1736,,,,,
all-time,current,Science,392,6793,"Volume 392, Issue 6793, Apr 2026",2026-04-02,Mitochondrial metabolism and signaling direct dendritic cell function in antitumor immunity,"Zhiyuan You, Jiyeon Kim, ..., Hongbo Chi",3.0,Not relevant,0,,,,10.1126/science.adv6582,https://doi.org/10.1126/science.adv6582,,,,,
all-time,current,Science,392,6793,"Volume 392, Issue 6793, Apr 2026",2026-04-02,Harnessing viral strategies to reverse cognitive dysfunction through the integrated stress response,"Lucas C. Reineke, Ping Jun Zhu, ..., Mauro Costa-Mattioli",3.0,Not relevant,0,,,,10.1126/science.aea8782,https://doi.org/10.1126/science.aea8782,,,,,
all-time,current,Science,391,6792,"Volume 391, Issue 6792, Mar 2026",2026-03-26,Distinctive DNA sequence features define epigenetic longevity of inflammatory memory,"Christopher J. Cowley, Sairaj M. Sajjath, ..., Elaine Fuchs",3.0,Not relevant,0,,,,10.1126/science.adz6830,https://doi.org/10.1126/science.adz6830,,,,,
all-time,current,Science,391,6792,"Volume 391, Issue 6792, Mar 2026",2026-03-26,Designed to remember,"Guillaume Blot, Przemyslaw Sapieha",3.0,Not relevant,0,,,,10.1126/science.aeg3891,https://doi.org/10.1126/science.aeg3891,,,,,
all-time,current,Science,391,6791,"Volume 391, Issue 6791, Mar 2026",2026-03-19,A sympathetic-eosinophil axis orchestrates psychological stress to exacerbate skin inflammation,"Jiahe Tian, Yudian Cao, ..., Shenbin Liu",11.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: inflammation,10.1126/science.adv5974,https://doi.org/10.1126/science.adv5974,,,,,
all-time,current,Science,391,6791,"Volume 391, Issue 6791, Mar 2026",2026-03-19,Overcoming T cell tolerance to tumor self-antigens through catch-bond engineering,"Xiaojing Chen, Zhiyuan Mao, ..., K. Christopher Garcia",11.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1126/science.adx3162,https://doi.org/10.1126/science.adx3162,,,,,
all-time,current,Science,391,6791,"Volume 391, Issue 6791, Mar 2026",2026-03-19,A neuroimmune circuit links stress to skin inflammation,"Nicolas Gaudenzio, Lilian Basso",11.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: inflammation,10.1126/science.aef7718,https://doi.org/10.1126/science.aef7718,,,,,
all-time,current,Science,391,6791,"Volume 391, Issue 6791, Mar 2026",2026-03-19,Commensal-driven serotonin production modulates in vivo delivery of synthetic and viral vectors,"Qin Wang, Ziqi Chen, ..., Yucai Wang",3.0,Not relevant,0,,,,10.1126/science.adu7686,https://doi.org/10.1126/science.adu7686,,,,,
all-time,current,Science,391,6791,"Volume 391, Issue 6791, Mar 2026",2026-03-19,Host-derived nitrate fuels indole production by <i>Escherichia coli</i> to drive chronic kidney disease progression,"Jee-Yon Lee, Scott P. Mahan, ..., Andreas J. Bäumler",3.0,Not relevant,0,,,,10.1126/science.ady5217,https://doi.org/10.1126/science.ady5217,,,,,
all-time,current,Science,391,6790,"Volume 391, Issue 6790, Mar 2026",2026-03-12,Lifelong behavioral screen reveals an architecture of vertebrate aging,"Claire N. Bedbrook, Ravi D. Nath, ..., Karl Deisseroth",9.0,Archive only,1,Aging / senescence,aging_senescence,aging_senescence: aging,10.1126/science.aea9795,https://doi.org/10.1126/science.aea9795,,,,,
all-time,current,Science,391,6790,"Volume 391, Issue 6790, Mar 2026",2026-03-12,Whole-embryo spatial transcriptomics at subcellular resolution from gastrulation to organogenesis,"Yinan Wan, Jakob El Kholtei, ..., Alexander F. Schier",9.0,Archive only,1,Single-cell / spatial / atlas,omics_and_atlas,omics_and_atlas: spatial transcriptomics,10.1126/science.adt3439,https://doi.org/10.1126/science.adt3439,,,,,
all-time,current,Science,391,6790,"Volume 391, Issue 6790, Mar 2026",2026-03-12,ARPA-H bets big to foster drugs that thwart aging,Mitch Leslie,9.0,Archive only,1,Aging / senescence,aging_senescence,aging_senescence: aging,10.1126/science.aeh1092,https://doi.org/10.1126/science.aeh1092,,,,,
all-time,current,Science,391,6790,"Volume 391, Issue 6790, Mar 2026",2026-03-12,A global screen for magnetically induced neuronal activity in the pigeon brain,"Gregory C. Nordmann, Spencer D. Balay, ..., David A. Keays",3.0,Not relevant,0,,,,10.1126/science.aea6425,https://doi.org/10.1126/science.aea6425,,,,,
all-time,current,Science,391,6789,"Volume 391, Issue 6789, Mar 2026",2026-03-05,Inhibition of 15-hydroxy prostaglandin dehydrogenase promotes cartilage regeneration,"Mamta Singla, Yu Xin Wang, ..., Nidhi Bhutani",3.0,Not relevant,0,,,,10.1126/science.adx6649,https://doi.org/10.1126/science.adx6649,,,,,
all-time,current,Science,391,6789,"Volume 391, Issue 6789, Mar 2026",2026-03-05,Structural basis for the recruitment and selective phosphorylation of Akt by mTORC2,"Martin S. Taylor, Maggie Chen, ..., Philip A. Cole",3.0,Not relevant,0,,,,10.1126/science.adv7111,https://doi.org/10.1126/science.adv7111,,,,,
all-time,current,Science,391,6789,"Volume 391, Issue 6789, Mar 2026",2026-03-05,Single intramuscular injection of self-amplifying RNA of <i>Nppa</i> to treat myocardial infarction,"Kaiyue Zhang, Hongyan Tao, ..., Ke Cheng",3.0,Not relevant,0,,,,10.1126/science.adu9394,https://doi.org/10.1126/science.adu9394,,,,,
all-time,current,Science,391,6789,"Volume 391, Issue 6789, Mar 2026",2026-03-05,Targeting amyloid-β pathology by chimeric antigen receptor astrocyte (CAR-A) therapy,"Yun Chen, Yizhou Liu, ..., Marco Colonna",3.0,Not relevant,0,,,,10.1126/science.ads3972,https://doi.org/10.1126/science.ads3972,,,,,
all-time,current,Science,391,6788,"Volume 391, Issue 6788, Feb 2026",2026-02-26,Sensitive CAR T cells redefine targetable CD70 expression in solid tumors,"Sophie A. Hanina, Tyler Park, ..., Michel Sadelain",11.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1126/science.adv7378,https://doi.org/10.1126/science.adv7378,,,,,
all-time,current,Science,391,6788,"Volume 391, Issue 6788, Feb 2026",2026-02-26,Organism-wide cellular dynamics and epigenomic remodeling in mammalian aging,"Ziyu Lu, Zehao Zhang, ..., Junyue Cao",9.0,Archive only,1,Aging / senescence,aging_senescence,aging_senescence: aging,10.1126/science.adw6273,https://doi.org/10.1126/science.adw6273,,,,,
